ankle,blue,white,wooly
knee,blue,gray,wooly
low,yellow,blue,wooly
thigh,gray,red,wooly
thigh,purple,blue,thin
thigh,yellow,blue,thick
knee,white,yellow,wooly
thigh,purple,gray,thick
knee,red,yellow,thick
ankle,white,blue,thick
low,yellow,green,thin
ankle,gray,purple,thin
thigh,white,green,thin
thigh,yellow,purple,wooly
low,green,red,wooly
ankle,purple,white,thick
thigh,green,blue,thick
ankle,gray,purple,wooly
ankle,red,white,wooly
ankle,yellow,purple,wooly
knee,purple,gray,thin
low,white,green,thin
knee,yellow,white,wooly
knee,green,blue,thin
knee,blue,gray,thin
ankle,red,purple,thin
thigh,purple,green,wooly
thigh,green,yellow,wooly
knee,yellow,purple,thin
thigh,red,yellow,thin
ankle,gray,yellow,thick
thigh,blue,green,wooly
thigh,purple,red,thin
knee,gray,red,wooly
knee,red,green,wooly
knee,red,yellow,wooly
knee,gray,gray,wooly
knee,green,blue,thick
thigh,white,white,thick
low,gray,purple,thick
ankle,red,red,wooly
low,red,yellow,wooly
thigh,white,white,thick
thigh,red,red,thin
low,purple,gray,wooly
ankle,gray,purple,thin
ankle,purple,green,thin
low,red,yellow,thick
knee,green,purple,wooly
thigh,white,green,thin
knee,yellow,red,thick
thigh,gray,yellow,wooly
thigh,purple,purple,thick
thigh,gray,gray,thick
knee,yellow,yellow,wooly
thigh,purple,gray,thin
thigh,yellow,gray,thick
low,yellow,yellow,wooly
thigh,green,purple,wooly
thigh,gray,blue,thick
thigh,green,white,wooly
ankle,blue,red,thin
low,green,purple,thin
low,white,red,thin
knee,gray,gray,thin
thigh,gray,yellow,thick
low,green,red,thick
ankle,white,white,wooly
knee,white,purple,thin
knee,green,red,wooly
low,purple,green,wooly
thigh,purple,gray,wooly
thigh,red,white,wooly
knee,purple,yellow,thick
thigh,gray,white,thin
knee,gray,white,thin
low,yellow,red,thin
thigh,white,yellow,thin
ankle,yellow,yellow,thick
ankle,red,green,thick
thigh,white,blue,thin
knee,purple,red,thick
ankle,green,purple,wooly
thigh,white,red,thin
low,yellow,gray,thin
low,blue,purple,wooly
thigh,gray,green,thick
ankle,red,purple,wooly
knee,purple,yellow,thick
thigh,blue,white,wooly
knee,white,yellow,wooly
knee,green,green,thick
thigh,blue,purple,thin
ankle,green,red,thick
low,green,blue,thin
knee,gray,green,wooly
knee,blue,gray,thin
ankle,purple,yellow,thin
knee,gray,blue,thin
knee,gray,red,thin
low,red,yellow,wooly
ankle,green,white,wooly
thigh,yellow,green,thin
knee,purple,red,wooly
knee,green,gray,thick
thigh,purple,yellow,thick
low,purple,purple,wooly
